"10022","CRUSTACEANS","LOBSTERS","Crustacés"
"14501","POULTRY","CHICKENS","Volaille"
"14501","POULTRY","TURKEYS","Volaille"
"14501","SWINE (PIGS)","","Porcs"
"14555","CATTLE","DAIRY CATTLE","Bétails"
"14575","CATS","","Chats"
"14575","DOGS","","Chiens"
"14576","CATS","","Chats"
"14576","DOGS","","Chiens"
"1461","CATTLE","","Bétails"
"1461","SWINE (PIGS)","","Porcs"
"14620","DOGS","","Chiens"
"14691","CATS","","Chats"
"1477","CATS","","Chats"
"1477","CATTLE","","Bétails"
"1477","DOGS","","Chiens"
"1477","GOATS","","Chèvres"
"1477","HORSES","","Cheveaux"
"1477","SHEEP","","Mouton"
"1477","SWINE (PIGS)","","Porcs"
"1500","CATTLE","","Bétails"
"1500","GOATS","","Chèvres"
"1500","HORSES","","Cheveaux"
"1500","SHEEP","","Mouton"
"1500","SWINE (PIGS)","","Porcs"
"15001","CATTLE","","Bétails"
"15001","HORSES","","Cheveaux"
"15001","POULTRY","CHICKENS","Volaille"
"15001","POULTRY","TURKEYS","Volaille"
"15001","SWINE (PIGS)","","Porcs"
"15002","CATTLE","BEEF CATTLE","Bétails"
"15002","CATTLE","BULLS","Bétails"
"15002","CATTLE","CALVES","Bétails"
"15002","CATTLE","COWS-DRY","Bétails"
"15002","CATTLE","REPLACEMENT HEIFERS","Bétails"
"15002","POULTRY","BROILER CHICKENS","Volaille"
"15002","POULTRY","COMMERCIAL LAYER HENS","Volaille"
"15002","POULTRY","TURKEYS","Volaille"
"15002","SHEEP","LAMB","Mouton"
"15002","SWINE (PIGS)","","Porcs"
"15004","SWINE (PIGS)","","Porcs"
"1516","HORSES","","Cheveaux"
"15172","CATTLE","CALVES","Bétails"
"15248","HORSES","","Cheveaux"
"15256","DOGS","","Chiens"
"15257","DOGS","","Chiens"
"15258","DOGS","","Chiens"
"15259","CATTLE","","Bétails"
"15259","DOGS","","Chiens"
"1545","SWINE (PIGS)","","Porcs"
"1546","CATTLE","COWS-LACTATING","Bétails"
"1547","POULTRY","CHICKENS","Volaille"
"1547","SWINE (PIGS)","","Porcs"
"15495","CATTLE","","Bétails"
"15495","DOGS","","Chiens"
"15495","HORSES","","Cheveaux"
"15517","CATTLE","","Bétails"
"15517","DOGS","","Chiens"
"15517","HORSES","","Cheveaux"
"15517","SHEEP","","Mouton"
"15522","CATS","","Chats"
"15522","DOGS","","Chiens"
"15522","HORSES","","Cheveaux"
"15541","CATS","","Chats"
"15541","DOGS","","Chiens"
"15541","HORSES","","Cheveaux"
"15622","SWINE (PIGS)","PIGLETS","Porcs"
"15623","HORSES","","Cheveaux"
"1565","CATTLE","BEEF CATTLE","Bétails"
"15673","CATTLE","BEEF CATTLE","Bétails"
"15673","CATTLE","CALVES","Bétails"
"15673","POULTRY","CHICKENS","Volaille"
"15673","POULTRY","TURKEYS","Volaille"
"15673","SHEEP","LAMB","Mouton"
"15673","SWINE (PIGS)","","Porcs"
"15770","CATTLE","","Bétails"
"15770","GOATS","","Chèvres"
"15770","POULTRY","","Volaille"
"15770","SHEEP","","Mouton"
"15770","SWINE (PIGS)","","Porcs"
"15771","CATTLE","","Bétails"
"15771","GOATS","","Chèvres"
"15771","POULTRY","","Volaille"
"15771","SHEEP","","Mouton"
"15771","SWINE (PIGS)","","Porcs"
"15774","CATTLE","DAIRY CATTLE","Bétails"
"15786","CATTLE","DAIRY CATTLE","Bétails"
"1580","DOGS","","Chiens"
"15809","CATTLE","CALVES","Bétails"
"15810","POULTRY","BROILER CHICKENS","Volaille"
"1582","DOGS","","Chiens"
"1583","HORSES","","Cheveaux"
"1583","POULTRY","","Volaille"
"1583","SWINE (PIGS)","","Porcs"
"1588","CATTLE","","Bétails"
"1588","DOGS","","Chiens"
"1588","SWINE (PIGS)","","Porcs"
"1590","DOGS","","Chiens"
"1591","CATS","","Chats"
"15910","CATTLE","","Bétails"
"1592","DOGS","","Chiens"
"1593","DOGS","","Chiens"
"1593","HORSES","","Cheveaux"
"15932","CATTLE","COWS-LACTATING","Bétails"
"15932","HORSES","","Cheveaux"
"15932","SHEEP","","Mouton"
"15933","CATS","","Chats"
"15933","CATTLE","CALVES","Bétails"
"15933","DOGS","","Chiens"
"15933","HORSES","FOALS","Cheveaux"
"15933","SHEEP","","Mouton"
"15933","SWINE (PIGS)","","Porcs"
"1594","CATTLE","","Bétails"
"1594","SHEEP","","Mouton"
"1594","SWINE (PIGS)","","Porcs"
"15940","POULTRY","TURKEYS","Volaille"
"15959","CATTLE","DAIRY CATTLE","Bétails"
"15960","CATTLE","DAIRY CATTLE","Bétails"
"16010","CATTLE","","Bétails"
"16010","SHEEP","EWES","Mouton"
"16011","DOGS","","Chiens"
"16011","HORSES","","Cheveaux"
"16033","CATTLE","DAIRY CATTLE","Bétails"
"16094","DOGS","","Chiens"
"16095","DOGS","","Chiens"
"16104","DOGS","","Chiens"
"16105","DOGS","","Chiens"
"16106","CATTLE","DAIRY CATTLE","Bétails"
"1617","CATTLE","CALVES","Bétails"
"1617","POULTRY","CHICKENS","Volaille"
"1617","POULTRY","TURKEYS","Volaille"
"1617","SWINE (PIGS)","","Porcs"
"16230","CATTLE","","Bétails"
"16230","HORSES","","Cheveaux"
"16230","SHEEP","","Mouton"
"16230","SWINE (PIGS)","","Porcs"
"1631","POULTRY","CHICKENS","Volaille"
"1631","POULTRY","TURKEYS","Volaille"
"1632","CATTLE","","Bétails"
"1632","POULTRY","","Volaille"
"1632","SWINE (PIGS)","","Porcs"
"1633","POULTRY","","Volaille"
"1633","SWINE (PIGS)","","Porcs"
"16444","SWINE (PIGS)","PIGLETS","Porcs"
"16451","HORSES","","Cheveaux"
"16464","CATS","","Chats"
"16499","CATTLE","CALVES","Bétails"
"16564","CATS","","Chats"
"16659","DOGS","","Chiens"
"16660","DOGS","","Chiens"
"16750","CATTLE","CALVES","Bétails"
"16750","POULTRY","BREEDER CHICKENS","Volaille"
"16750","POULTRY","BROILER CHICKENS","Volaille"
"16750","POULTRY","REPLACEMENT CHICKENS","Volaille"
"16750","POULTRY","TURKEYS","Volaille"
"16750","SHEEP","","Mouton"
"16750","SWINE (PIGS)","","Porcs"
"16751","CATS","","Chats"
"16751","DOGS","","Chiens"
"16797","CATS","","Chats"
"16798","DOGS","","Chiens"
"1680","POULTRY","","Volaille"
"1680","SWINE (PIGS)","","Porcs"
"16840","CATTLE","DAIRY CATTLE","Bétails"
"16841","CATTLE","DAIRY CATTLE","Bétails"
"1685","SHEEP","","Mouton"
"1686","CATS","","Chats"
"1686","DOGS","","Chiens"
"1687","DOGS","","Chiens"
"1687","HORSES","","Cheveaux"
"17114","CATTLE","CALVES","Bétails"
"17120","CATTLE","BEEF CATTLE","Bétails"
"17216","HORSES","","Cheveaux"
"17244","CATTLE","DAIRY CATTLE","Bétails"
"1730","DOG OR CAT","","Chien Ou Chat"
"1730","HORSES","","Cheveaux"
"17419","CATS","","Chats"
"17419","DOGS","","Chiens"
"17746","HORSES","","Cheveaux"
"17796","HORSES","","Cheveaux"
"1785","POULTRY","","Volaille"
"17950","CATTLE","DAIRY CATTLE","Bétails"
"17951","CATTLE","DAIRY CATTLE","Bétails"
"18044","CATTLE","DAIRY CATTLE","Bétails"
"18100","CATTLE","","Bétails"
"18100","SWINE (PIGS)","PIGLETS","Porcs"
"18187","CATS","","Chats"
"18187","DOGS","","Chiens"
"18250","CATS","","Chats"
"18250","CATTLE","CALVES","Bétails"
"18250","DOGS","","Chiens"
"18250","HORSES","","Cheveaux"
"18250","SHEEP","","Mouton"
"18250","SWINE (PIGS)","","Porcs"
"18251","HORSES","","Cheveaux"
"18300","DOGS","","Chiens"
"18365","SWINE (PIGS)","","Porcs"
"18373","CATS","","Chats"
"18373","DOGS","","Chiens"
"18512","CATS","","Chats"
"18512","DOGS","","Chiens"
"18564","DOGS","","Chiens"
"18569","DOGS","","Chiens"
"1858","CATS","","Chats"
"1858","CATTLE","","Bétails"
"1858","DOGS","","Chiens"
"1858","HORSES","","Cheveaux"
"1858","SHEEP","","Mouton"
"1858","SWINE (PIGS)","","Porcs"
"1859","CATTLE","","Bétails"
"1859","HORSES","","Cheveaux"
"1859","SHEEP","","Mouton"
"1859","SWINE (PIGS)","","Porcs"
"18605","CATS","","Chats"
"18605","DOGS","","Chiens"
"18635","CATTLE","","Bétails"
"18635","GOATS","","Chèvres"
"18635","SHEEP","","Mouton"
"18661","HORSES","","Cheveaux"
"1868","DOG OR CAT","","Chien Ou Chat"
"18790","CATTLE","","Bétails"
"18831","CATTLE","DAIRY CATTLE","Bétails"
"1893","DOG OR CAT","","Chien Ou Chat"
"1895","CATTLE","DAIRY CATTLE","Bétails"
"1908","CATTLE","","Bétails"
"1908","SHEEP","","Mouton"
"1908","SWINE (PIGS)","","Porcs"
"19118","DOGS","","Chiens"
"19118","HORSES","","Cheveaux"
"19182","CATTLE","","Bétails"
"19182","SWINE (PIGS)","PIGLETS","Porcs"
"1925","CATS","","Chats"
"1925","CATTLE","","Bétails"
"1925","DOGS","","Chiens"
"1925","GOATS","","Chèvres"
"1925","HORSES","","Cheveaux"
"1925","SHEEP","LAMB","Mouton"
"1925","SWINE (PIGS)","","Porcs"
"19251","CATTLE","","Bétails"
"19251","SHEEP","","Mouton"
"19251","SWINE (PIGS)","","Porcs"
"19260","CATTLE","BEEF CATTLE","Bétails"
"19260","CATTLE","CALVES","Bétails"
"19260","POULTRY","CHICKENS","Volaille"
"19260","POULTRY","TURKEYS","Volaille"
"19260","SHEEP","LAMB","Mouton"
"19260","SWINE (PIGS)","","Porcs"
"1927","CATTLE","","Bétails"
"1928","CATTLE","CALVES","Bétails"
"1928","POULTRY","BREEDER CHICKENS","Volaille"
"1928","POULTRY","BROILER CHICKENS","Volaille"
"1928","POULTRY","REPLACEMENT CHICKENS","Volaille"
"1928","POULTRY","TURKEYS","Volaille"
"1928","SWINE (PIGS)","","Porcs"
"19288","CATTLE","BEEF CATTLE","Bétails"
"19308","CATS","","Chats"
"19308","DOGS","","Chiens"
"1938","CATS","","Chats"
"1938","DOGS","","Chiens"
"19421","CATTLE","DAIRY CATTLE","Bétails"
"19422","CATTLE","BEEF CATTLE","Bétails"
"1944","DOG OR CAT","","Chien Ou Chat"
"19499","HORSES","","Cheveaux"
"19500","CATS","","Chats"
"19500","CATTLE","","Bétails"
"19500","DOGS","","Chiens"
"19502","DOGS","","Chiens"
"19503","HORSES","","Cheveaux"
"19551","POULTRY","","Volaille"
"19551","SWINE (PIGS)","","Porcs"
"1957","CATTLE","DAIRY CATTLE","Bétails"
"19632","CATTLE","DAIRY CATTLE","Bétails"
"19633","CATTLE","DAIRY CATTLE","Bétails"
"19635","CATTLE","BEEF CATTLE","Bétails"
"19635","CATTLE","BULLS","Bétails"
"19635","CATTLE","CALVES","Bétails"
"19635","CATTLE","COWS-DRY","Bétails"
"19635","CATTLE","REPLACEMENT HEIFERS","Bétails"
"19635","SHEEP","LAMB","Mouton"
"19635","SWINE (PIGS)","","Porcs"
"1965","HORSES","","Cheveaux"
"1969","HORSES","","Cheveaux"
"1969","POULTRY","CHICKENS","Volaille"
"1969","POULTRY","TURKEYS","Volaille"
"1969","SWINE (PIGS)","","Porcs"
"19694","CATTLE","","Bétails"
"19694","DOGS","","Chiens"
"19694","HORSES","","Cheveaux"
"19694","SHEEP","","Mouton"
"19694","SWINE (PIGS)","","Porcs"
"1970","CATTLE","","Bétails"
"1970","SWINE (PIGS)","","Porcs"
"1972","CATTLE","","Bétails"
"19745","CATTLE","","Bétails"
"19745","SWINE (PIGS)","","Porcs"
"19747","CATTLE","","Bétails"
"19747","SWINE (PIGS)","","Porcs"
"19748","CATTLE","","Bétails"
"19748","POULTRY","TURKEYS","Volaille"
"19748","SWINE (PIGS)","","Porcs"
"19749","CATTLE","","Bétails"
"19749","POULTRY","TURKEYS","Volaille"
"19749","SWINE (PIGS)","","Porcs"
"19752","WILD/MISCELLANEOUS","ELK","Sauvage/Divers"
"19752","WILD/MISCELLANEOUS","MOOSE","Sauvage/Divers"
"19753","CATTLE","COWS-LACTATING","Bétails"
"1985","CATTLE","","Bétails"
"1985","DOG OR CAT","","Chien Ou Chat"
"1985","HORSES","","Cheveaux"
"1985","SHEEP","","Mouton"
"1985","SWINE (PIGS)","","Porcs"
"1986","BIRDS","COMPANION BIRDS","Oiseaux"
"1986","CATTLE","","Bétails"
"1986","GOATS","","Chèvres"
"1986","HORSES","","Cheveaux"
"1986","SHEEP","","Mouton"
"1986","SWINE (PIGS)","","Porcs"
"1986","WILD/MISCELLANEOUS","","Sauvage/Divers"
"20089","SWINE (PIGS)","","Porcs"
"20090","CATS","","Chats"
"20090","DOGS","","Chiens"
"20100","CATS","","Chats"
"20100","CATTLE","","Bétails"
"20100","DOGS","","Chiens"
"20100","HORSES","","Cheveaux"
"20103","CATTLE","CALVES","Bétails"
"2022","HORSES","","Cheveaux"
"2023","GENERAL - MISC.","","Général-Misc"
"2026","POULTRY","CHICKENS","Volaille"
"2026","POULTRY","TURKEYS","Volaille"
"2029","CATTLE","COWS-LACTATING","Bétails"
"2029","SHEEP","","Mouton"
"2029","SWINE (PIGS)","PIGLETS","Porcs"
"2034","CATTLE","","Bétails"
"2042","CATTLE","","Bétails"
"2042","HORSES","","Cheveaux"
"2042","SHEEP","","Mouton"
"2042","SWINE (PIGS)","","Porcs"
"2069","HORSES","","Cheveaux"
"2069","WILD/MISCELLANEOUS","","Sauvage/Divers"
"2089","CATTLE","","Bétails"
"2089","HORSES","","Cheveaux"
"2089","SHEEP","","Mouton"
"2089","SWINE (PIGS)","","Porcs"
"2090","SWINE (PIGS)","","Porcs"
"2123","CATTLE","","Bétails"
"2123","SHEEP","","Mouton"
"2124","CATTLE","","Bétails"
"2124","SHEEP","","Mouton"
"2131","GENERAL - MISC.","","Général-Misc"
"2132","CATTLE","","Bétails"
"2132","GOATS","","Chèvres"
"2132","HORSES","","Cheveaux"
"2132","SHEEP","","Mouton"
"2132","SWINE (PIGS)","","Porcs"
"21328","CATTLE","","Bétails"
"21328","POULTRY","","Volaille"
"21328","SWINE (PIGS)","","Porcs"
"2143","DOG OR CAT","","Chien Ou Chat"
"2144","DOG OR CAT","","Chien Ou Chat"
"2160","CATTLE","","Bétails"
"2160","DOG OR CAT","","Chien Ou Chat"
"2160","HORSES","","Cheveaux"
"2162","GENERAL - MISC.","","Général-Misc"
"2192","CATTLE","","Bétails"
"2192","SWINE (PIGS)","","Porcs"
"22156","HORSES","","Cheveaux"
"2217","CATS","","Chats"
"2217","CATTLE","","Bétails"
"2217","DOGS","","Chiens"
"2217","GOATS","","Chèvres"
"2217","HORSES","","Cheveaux"
"2217","SHEEP","LAMB","Mouton"
"2217","SWINE (PIGS)","","Porcs"
"2217","WILD/MISCELLANEOUS","","Sauvage/Divers"
"2218","CATTLE","","Bétails"
"2218","DOG OR CAT","","Chien Ou Chat"
"2218","GOATS","","Chèvres"
"2218","HORSES","","Cheveaux"
"2218","SHEEP","","Mouton"
"2218","SWINE (PIGS)","","Porcs"
"2230","GENERAL - MISC.","","Général-Misc"
"2271","HORSES","","Cheveaux"
"22937","HORSES","","Cheveaux"
"230","BIRDS (COMPANION)","","Oiseaux (Compagnon)"
"230","CATTLE","","Bétails"
"230","GOATS","","Chèvres"
"230","HORSES","","Cheveaux"
"230","POULTRY","","Volaille"
"230","SHEEP","","Mouton"
"230","SWINE (PIGS)","","Porcs"
"230","WILD/MISCELLANEOUS","","Sauvage/Divers"
"2345","CATTLE","BEEF HEIFERS","Bétails"
"2345","CATTLE","DAIRY CATTLE","Bétails"
"2345","SHEEP","EWES","Mouton"
"2345","SHEEP","LAMB","Mouton"
"2345","SWINE (PIGS)","SOWS","Porcs"
"235","CATS","","Chats"
"235","DOGS","","Chiens"
"2356","CATTLE","","Bétails"
"237","CATS","","Chats"
"237","DOGS","","Chiens"
"238","CATS","","Chats"
"238","CATTLE","","Bétails"
"238","DOGS","","Chiens"
"238","HORSES","","Cheveaux"
"238","SHEEP","LAMB","Mouton"
"238","SWINE (PIGS)","","Porcs"
"2388","SWINE (PIGS)","PIGLETS","Porcs"
"24726","CATTLE","DAIRY CATTLE","Bétails"
"2474","DOG OR CAT","","Chien Ou Chat"
"2475","CATS","","Chats"
"2475","CATTLE","","Bétails"
"2475","DOGS","","Chiens"
"2475","GOATS","","Chèvres"
"2475","HORSES","","Cheveaux"
"2475","POULTRY","","Volaille"
"2475","SHEEP","","Mouton"
"2475","SWINE (PIGS)","","Porcs"
"2475","WILD/MISCELLANEOUS","","Sauvage/Divers"
"2496","HORSES","","Cheveaux"
"2497","HORSES","","Cheveaux"
"2498","HORSES","","Cheveaux"
"2499","HORSES","","Cheveaux"
"2500","GENERAL - MISC.","","Général-Misc"
"2501","GENERAL - MISC.","","Général-Misc"
"2501","HORSES","","Cheveaux"
"2507","HORSES","","Cheveaux"
"2518","CATTLE","","Bétails"
"2528","HORSES","","Cheveaux"
"2537","CATTLE","","Bétails"
"2537","SWINE (PIGS)","","Porcs"
"25433","CATS","","Chats"
"25433","CATTLE","","Bétails"
"25433","DOGS","","Chiens"
"25433","HORSES","","Cheveaux"
"25433","SWINE (PIGS)","","Porcs"
"2557","CATTLE","","Bétails"
"2557","GOATS","","Chèvres"
"2557","HORSES","","Cheveaux"
"2557","POULTRY","","Volaille"
"2557","SHEEP","","Mouton"
"2557","SWINE (PIGS)","","Porcs"
"2557","WILD/MISCELLANEOUS","","Sauvage/Divers"
"2564","HORSES","","Cheveaux"
"2565","CATTLE","","Bétails"
"2565","HORSES","","Cheveaux"
"2565","SHEEP","","Mouton"
"2565","SWINE (PIGS)","","Porcs"
"25940","CATTLE","","Bétails"
"26001","CATTLE","DAIRY CATTLE","Bétails"
"26226","DOG OR CAT","","Chien Ou Chat"
"26273","DOGS","","Chiens"
"26370","POULTRY","CHICKENS","Volaille"
"2640","CATTLE","","Bétails"
"2640","GOATS","","Chèvres"
"2640","HORSES","","Cheveaux"
"2640","POULTRY","","Volaille"
"2640","SHEEP","","Mouton"
"2640","SWINE (PIGS)","","Porcs"
"2640","WILD/MISCELLANEOUS","","Sauvage/Divers"
"2641","CATTLE","","Bétails"
"2641","GOATS","","Chèvres"
"2641","HORSES","","Cheveaux"
"2641","SHEEP","LAMB","Mouton"
"2641","SWINE (PIGS)","","Porcs"
"26467","DOG OR CAT","","Chien Ou Chat"
"26615","HORSES","","Cheveaux"
"26618","HORSES","","Cheveaux"
"26880","CATS","","Chats"
"26880","CATTLE","BEEF CATTLE","Bétails"
"26880","CATTLE","DAIRY CATTLE","Bétails"
"26880","DOGS","","Chiens"
"26880","HORSES","","Cheveaux"
"27044","CATTLE","","Bétails"
"2710","CATS","","Chats"
"2710","DOGS","","Chiens"
"2717","SWINE (PIGS)","","Porcs"
"2720","CATTLE","","Bétails"
"2720","HORSES","","Cheveaux"
"2720","SHEEP","","Mouton"
"2720","SWINE (PIGS)","","Porcs"
"2725","DOG OR CAT","","Chien Ou Chat"
"275","GENERAL - MISC.","","Général-Misc"
"2782","CATTLE","CALVES","Bétails"
"2782","DOGS","","Chiens"
"2782","HORSES","","Cheveaux"
"2782","SHEEP","","Mouton"
"2782","SWINE (PIGS)","","Porcs"
"2783","CATS","","Chats"
"2783","CATTLE","","Bétails"
"2783","DOGS","","Chiens"
"2783","GOATS","","Chèvres"
"2783","HORSES","","Cheveaux"
"2783","SHEEP","","Mouton"
"2783","SWINE (PIGS)","","Porcs"
"2794","DOG OR CAT","","Chien Ou Chat"
"2795","SWINE (PIGS)","","Porcs"
"2801","CATS","","Chats"
"2801","DOGS","","Chiens"
"2823","CATTLE","","Bétails"
"2823","DOGS","","Chiens"
"2823","HORSES","","Cheveaux"
"2834","CATS","","Chats"
"2834","DOGS","","Chiens"
"28346","HORSES","","Cheveaux"
"2835","DOGS","","Chiens"
"2841","CATTLE","","Bétails"
"2841","HORSES","","Cheveaux"
"2841","SHEEP","","Mouton"
"2841","SWINE (PIGS)","","Porcs"
"2848","CATTLE","","Bétails"
"2848","POULTRY","","Volaille"
"2848","SWINE (PIGS)","","Porcs"
"2852","CATTLE","","Bétails"
"2852","HORSES","","Cheveaux"
"2852","SHEEP","","Mouton"
"2852","SWINE (PIGS)","","Porcs"
"2877","SWINE (PIGS)","PIGLETS","Porcs"
"2878","SWINE (PIGS)","","Porcs"
"2892","CATTLE","","Bétails"
"2907","CATS","","Chats"
"2907","DOGS","","Chiens"
"2916","CATTLE","BEEF CATTLE","Bétails"
"2916","CATTLE","BULLS","Bétails"
"2916","CATTLE","CALVES","Bétails"
"2916","CATTLE","REPLACEMENT HEIFERS","Bétails"
"2926","DOG OR CAT","","Chien Ou Chat"
"2937","CATTLE","","Bétails"
"2937","POULTRY","","Volaille"
"2938","SWINE (PIGS)","","Porcs"
"2939","CATTLE","","Bétails"
"2939","DOG OR CAT","","Chien Ou Chat"
"2939","HORSES","","Cheveaux"
"2956","CATTLE","","Bétails"
"2957","CATTLE","DAIRY CATTLE","Bétails"
"2987","DOGS","","Chiens"
"3017","CATS","","Chats"
"3017","CATTLE","","Bétails"
"3017","DOGS","","Chiens"
"3017","GOATS","","Chèvres"
"3017","HORSES","","Cheveaux"
"3017","SHEEP","","Mouton"
"3017","SWINE (PIGS)","","Porcs"
"3018","CATTLE","","Bétails"
"3018","DOG OR CAT","","Chien Ou Chat"
"3018","HORSES","","Cheveaux"
"3019","DOG OR CAT","","Chien Ou Chat"
"3019","HORSES","","Cheveaux"
"3034","HORSES","","Cheveaux"
"30580","POULTRY","CHICKENS","Volaille"
"3066","CATTLE","","Bétails"
"3074","CATTLE","COWS-LACTATING","Bétails"
"3074","GOATS","","Chèvres"
"3074","SHEEP","LAMB","Mouton"
"3074","SWINE (PIGS)","","Porcs"
"3083","DOG OR CAT","","Chien Ou Chat"
"3083","HORSES","","Cheveaux"
"3094","CATTLE","","Bétails"
"3094","HORSES","","Cheveaux"
"3094","SHEEP","","Mouton"
"3094","SWINE (PIGS)","","Porcs"
"3127","CATTLE","","Bétails"
"3127","SHEEP","","Mouton"
"3127","SWINE (PIGS)","","Porcs"
"3137","DOGS","","Chiens"
"3137","HORSES","","Cheveaux"
"3138","CATTLE","","Bétails"
"3138","HORSES","","Cheveaux"
"3138","POULTRY","","Volaille"
"3138","SWINE (PIGS)","","Porcs"
"3139","CATTLE","","Bétails"
"3139","HORSES","","Cheveaux"
"31465","CATTLE","CALVES","Bétails"
"3153","CATTLE","","Bétails"
"3153","DOGS","","Chiens"
"3153","HORSES","","Cheveaux"
"3153","SHEEP","","Mouton"
"3153","SWINE (PIGS)","","Porcs"
"31653","CATS","","Chats"
"31653","DOGS","","Chiens"
"31653","SWINE (PIGS)","","Porcs"
"3269","CATS","","Chats"
"3269","DOGS","","Chiens"
"3279","CATTLE","COWS-LACTATING","Bétails"
"3295","CATTLE","CALVES","Bétails"
"3296","CATTLE","","Bétails"
"3296","DOG OR CAT","","Chien Ou Chat"
"3296","HORSES","","Cheveaux"
"3296","POULTRY","","Volaille"
"3296","SHEEP","LAMB","Mouton"
"3296","SWINE (PIGS)","","Porcs"
"3296","WILD/MISCELLANEOUS","CHINCHILLA","Sauvage/Divers"
"3296","WILD/MISCELLANEOUS","MINK","Sauvage/Divers"
"332","BIRDS","COMPANION BIRDS","Oiseaux"
"332","CATTLE","","Bétails"
"332","GOATS","","Chèvres"
"332","HORSES","","Cheveaux"
"332","POULTRY","","Volaille"
"332","SHEEP","","Mouton"
"332","SWINE (PIGS)","","Porcs"
"332","WILD/MISCELLANEOUS","","Sauvage/Divers"
"3322","DOG OR CAT","","Chien Ou Chat"
"3323","DOG OR CAT","","Chien Ou Chat"
"3347","CATS","","Chats"
"3347","CATTLE","","Bétails"
"3347","DOGS","","Chiens"
"3347","GOATS","","Chèvres"
"3347","HORSES","","Cheveaux"
"3347","SHEEP","","Mouton"
"3347","SWINE (PIGS)","","Porcs"
"33790","CATTLE","","Bétails"
"33790","HORSES","","Cheveaux"
"33790","POULTRY","CHICKENS","Volaille"
"33790","POULTRY","TURKEYS","Volaille"
"33790","SWINE (PIGS)","","Porcs"
"3387","CATTLE","","Bétails"
"3387","GOATS","","Chèvres"
"3387","HORSES","","Cheveaux"
"3387","SHEEP","","Mouton"
"3387","SWINE (PIGS)","","Porcs"
"3393","CATTLE","","Bétails"
"3393","CHINCHILLA, MINK","","Chinchilla, Vison"
"3393","POULTRY","","Volaille"
"3393","SWINE (PIGS)","","Porcs"
"3405","CATTLE","","Bétails"
"3405","DOG OR CAT","","Chien Ou Chat"
"3405","HORSES","","Cheveaux"
"3405","SWINE (PIGS)","","Porcs"
"3449","POULTRY","BROILER CHICKENS","Volaille"
"3449","POULTRY","TURKEYS","Volaille"
"3466","CATTLE","","Bétails"
"3466","HORSES","","Cheveaux"
"3466","SHEEP","","Mouton"
"349","DOG OR CAT","","Chien Ou Chat"
"34952","POULTRY","TURKEY POULTS","Volaille"
"34952","SWINE (PIGS)","","Porcs"
"35468","HORSES","","Cheveaux"
"35468","POULTRY","CHICKENS","Volaille"
"35468","POULTRY","TURKEYS","Volaille"
"35468","SWINE (PIGS)","","Porcs"
"3560","DOGS","","Chiens"
"3561","DOGS","","Chiens"
"3562","CATS","","Chats"
"3562","CATTLE","","Bétails"
"3562","DOGS","","Chiens"
"3562","HORSES","","Cheveaux"
"3562","SHEEP","LAMB","Mouton"
"3562","SWINE (PIGS)","","Porcs"
"3563","CATTLE","","Bétails"
"3563","SWINE (PIGS)","","Porcs"
"3564","CATTLE","","Bétails"
"3564","DOG OR CAT","","Chien Ou Chat"
"3565","GOATS","","Chèvres"
"3565","SHEEP","","Mouton"
"3565","WILD/MISCELLANEOUS","BLACK BEARS","Sauvage/Divers"
"3565","WILD/MISCELLANEOUS","ELEPHANTS","Sauvage/Divers"
"3565","WILD/MISCELLANEOUS","ELK","Sauvage/Divers"
"3565","WILD/MISCELLANEOUS","MOOSE","Sauvage/Divers"
"3565","WILD/MISCELLANEOUS","RED DEER","Sauvage/Divers"
"3565","WILD/MISCELLANEOUS","ZEBRA","Sauvage/Divers"
"3566","EXOTICS - ZOO (MONKEY, PRIMATES, CHIMPANZEE)","","Exotiques-Zoo (Singe, Primates, Chimpanzé"
"35670","SWINE (PIGS)","PIGLETS","Porcs"
"35772","SWINE (PIGS)","","Porcs"
"35895","CATTLE","CALVES","Bétails"
"35895","HORSES","FOALS","Cheveaux"
"3622","CATTLE","","Bétails"
"3622","DOG OR CAT","","Chien Ou Chat"
"3622","HORSES","","Cheveaux"
"3622","SHEEP","","Mouton"
"3622","SWINE (PIGS)","","Porcs"
"3623","CATS","","Chats"
"3623","CATTLE","","Bétails"
"3623","DOGS","","Chiens"
"3623","HORSES","","Cheveaux"
"3623","SHEEP","","Mouton"
"3623","SWINE (PIGS)","","Porcs"
"3624","CATS","","Chats"
"3624","CATTLE","","Bétails"
"3624","DOGS","","Chiens"
"3624","GOATS","","Chèvres"
"3624","HORSES","","Cheveaux"
"3624","SHEEP","","Mouton"
"3624","SWINE (PIGS)","","Porcs"
"3624","WILD/MISCELLANEOUS","","Sauvage/Divers"
"3625","CATTLE","","Bétails"
"3625","HORSES","","Cheveaux"
"36478","CATTLE","","Bétails"
"36478","HORSES","","Cheveaux"
"36478","SHEEP","","Mouton"
"36478","SWINE (PIGS)","","Porcs"
"3662","HORSES","","Cheveaux"
"36697","HORSES","","Cheveaux"
"36762","CATTLE","COWS","Bétails"
"36762","DOGS","BITCHES","Chiens"
"36762","HORSES","MARES","Cheveaux"
"36762","SHEEP","EWES","Mouton"
"36762","SWINE (PIGS)","SOWS","Porcs"
"36844","HORSES","","Cheveaux"
"36845","CATTLE","","Bétails"
"3694","CATS","","Chats"
"37034","BIRDS","","Oiseaux"
"37034","CATS","","Chats"
