"10","N05CA06","SECOBARBITAL","28:24.04","BARBITURATES","",""
"15298","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15299","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"153","J01CE01","BENZYLPENICILLIN","08:12.16.04","NATURAL PENICILLINS","",""
"15301","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15302","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15303","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15304","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15305","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15306","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15307","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15308","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15309","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"1531","S01AB04","SULFACETAMIDE","52:04.04","ANTIBACTERIALS","",""
"15310","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15311","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15312","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15313","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15314","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15315","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15316","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15317","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"1532","A02AD01","ORDINARY SALT COMBINATIONS","56:04.00","ANTACIDS AND ADSORBENTS","",""
"15320","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15321","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15324","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15325","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15326","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15327","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15328","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15329","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"1533","A11HA03","TOCOPHEROL (VIT E)","88:20.00","VITAMIN E","",""
"15331","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15332","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15333","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15334","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15335","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15336","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15337","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15338","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15339","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"1534","A11JC","VITAMINS, OTHER COMBINATIONS","40:20.00","CALORIC AGENTS","",""
"1534","A11JC","VITAMINS, OTHER COMBINATIONS","88:16.00","VITAMIN D","",""
"15340","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15341","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15342","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15343","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15345","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15346","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15348","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15349","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"1535","G01AX11","POVIDONE-IODINE","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"15350","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15351","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15352","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15354","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15356","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15357","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15359","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15360","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15361","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15362","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15363","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15364","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15365","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15366","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15367","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15369","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15370","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15371","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15373","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15374","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15375","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15376","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15377","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15378","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15379","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15380","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15381","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15382","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15383","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15384","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15385","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15386","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15387","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15388","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15389","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15390","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15391","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15392","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15393","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15394","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15395","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15396","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15397","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15398","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15399","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"154","N01AH05","ANILERIDINE","28:08.08","OPIATE AGONISTS","",""
"15400","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15401","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15402","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15403","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15404","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15405","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15406","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15407","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15408","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15409","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"1541","D02AA","SILICONE PRODUCTS","84:24.12","BASIC OINTMENTS AND PROTECTANTS","",""
"15410","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15411","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15412","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15413","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15414","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15415","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15416","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15417","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15418","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15419","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"1542","D01AE07","CHLORPHENESIN","84:04.08","ANTIFUNGALS","",""
"15420","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15421","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15422","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15423","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15424","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15425","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15426","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15427","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15428","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15429","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"1543","D01AE07","CHLORPHENESIN","84:04.08","ANTIFUNGALS","",""
"15431","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15433","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15434","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15435","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15436","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15437","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15438","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15439","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"1544","N06CA01","AMITRIPTYLINE AND PSYCHOLEPTICS","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"1544","N06CA01","AMITRIPTYLINE AND PSYCHOLEPTICS","28:16.08.24","PHENOTHIAZINES","",""
"15440","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15441","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15442","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15443","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15444","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15445","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15446","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15447","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15448","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15451","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15452","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15453","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15454","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15455","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15456","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15457","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15459","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15460","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15461","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15462","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15463","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15464","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15465","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15466","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15467","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15468","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15469","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"1547","QJ01GB","OTHER AMINOGLYCOSIDES","","","",""
"15470","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15471","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15472","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15473","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15474","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"15475","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"15476","D08AE05","CHLOROXYLENOL","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"15477","A11JC","VITAMINS, OTHER COMBINATIONS","88:20.00","VITAMIN E","",""
"15477","A11JC","VITAMINS, OTHER COMBINATIONS","88:30.00*","OTHER NUTRITIONAL AGENTS","",""
"15478","R01AA07","XYLOMETAZOLINE","52:32.00","VASOCONSTRICTORS","",""
"15479","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"15480","D01AC03","ECONAZOLE","84:04.08.08","AZOLES","",""
"15484","R05DA20","COMBINATIONS","04:04.12","PHENOTHIAZINE DERIVATIVES","",""
"15484","R05DA20","COMBINATIONS","48:08.00","ANTITUSSIVES","",""
"15486","G03CA57","CONJUGATED ESTROGENS","68:16.04","ESTROGENS","",""
"15487","N03AA03","PRIMIDONE","28:12.04","BARBITURATES","",""
"15489","C01BD01","AMIODARONE","24:04.04.20","CLASS III ANTIARRYTHMICS","",""
"15490","R05DA20","COMBINATIONS","04:04.00","FIRST GENERATION ANTIHISTAMINES","",""
"15490","R05DA20","COMBINATIONS","04:04.20","PROPYLAMINE DERIVATIVES","",""
"15490","R05DA20","COMBINATIONS","48:08.00","ANTITUSSIVES","",""
"15493","B05BA01","AMINO ACIDS","40:20.00","CALORIC AGENTS","",""
"15494","A02AF02","ORDINARY SALT COMBINATIONS AND ANTIFLATULENTS","56:04.00","ANTACIDS AND ADSORBENTS","",""
"15496","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS","",""
"15497","D08AC02","CHLORHEXIDINE","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"15498","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"15499","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"155","N01AH05","ANILERIDINE","28:08.08","OPIATE AGONISTS","",""
"1550","R03CB03","ORCIPRENALINE","12:12.08.12","SELECTIVE BETA 2-ADRENERGIC AGONISTS","",""
"15500","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"15501","A03AX13","SILICONES","56:10.00","ANTIFLATULENTS","",""
"15502","A01AA51","SODIUM FLUORIDE, COMBINATIONS","34:00.00","DENTAL AGENTS","",""
"15503","R06AA02","DIPHENHYDRAMINE","56:22.08","ANTIHISTAMINES","",""
"15504","A06AC01","ISPAGHULA (PSYLLA SEEDS)","56:12.00","CATHARTICS AND LAXATIVES","",""
"15505","A09AA04","TILACTASE","56:16.00","DIGESTANTS","",""
"15506","","","92:01.00*","HERBS AND NATURAL PRODUCTS","",""
"15509","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"1551","R03AB03","ORCIPRENALINE","12:12.08.12","SELECTIVE BETA 2-ADRENERGIC AGONISTS","",""
"15510","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15511","M02AC","PREPARATIONS WITH SALICYLIC ACID DERIVATIVES","28:08.04.24","SALICYLATES","",""
"15512","N02AJ18","OXYCODONE AND ACETYLSALICYLIC ACID","28:08.04.24","SALICYLATES","",""
"15512","N02AJ18","OXYCODONE AND ACETYLSALICYLIC ACID","28:08.08","OPIATE AGONISTS","",""
"15513","N02AJ18","OXYCODONE AND ACETYLSALICYLIC ACID","28:08.04.24","SALICYLATES","",""
"15513","N02AJ18","OXYCODONE AND ACETYLSALICYLIC ACID","28:08.08","OPIATE AGONISTS","",""
"15514","N02AJ17","OXYCODONE AND PARACETAMOL","28:08.08","OPIATE AGONISTS","",""
"15514","N02AJ17","OXYCODONE AND PARACETAMOL","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS","",""
"15515","R06AA02","DIPHENHYDRAMINE","04:04.04","ETHANOLAMINE DERIVATIVES","",""
"15518","D11AX11","HYDROQUINONE","84:50.04","DEPIGMENTING AGENTS","",""
"15519","A11JA","COMBINATIONS OF VITAMINS","88:28.00","MULTIVITAMIN PREPARATIONS","",""
"1552","R03AB03","ORCIPRENALINE","12:12.08.12","SELECTIVE BETA 2-ADRENERGIC AGONISTS","",""
"15520","B05XA05","MAGNESIUM SULPHATE","28:12.92","MISCELLANEOUS ANTICONVULSANTS","",""
"15521","C03CA01","FUROSEMIDE","40:28.08","LOOP DIURETICS","",""
"15526","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"15527","N02BA51","ACETYLSALICYLIC ACID, COMB EXCL PSYCHOLEPTICS","28:08.04.24","SALICYLATES","",""
"15528","N02BA51","ACETYLSALICYLIC ACID, COMB EXCL PSYCHOLEPTICS","28:08.04.24","SALICYLATES","",""
"15529","N02BA51","ACETYLSALICYLIC ACID, COMB EXCL PSYCHOLEPTICS","28:08.04.24","SALICYLATES","",""
"15530","A01AA01","SODIUM FLUORIDE","34:00.00","DENTAL AGENTS","",""
"15531","R01AD04","FLUNISOLIDE","52:08.08","CORTICOSTEROIDS","",""
"15534","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"15535","D10AF52","ERYTHROMYCIN, COMBINATIONS","84:04.04","ANTIBIOTICS","",""
"15536","D10AF52","ERYTHROMYCIN, COMBINATIONS","84:04.04","ANTIBIOTICS","",""
"15537","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS","",""
"15538","B05BA03","CARBOHYDRATES","40:20.00","CALORIC AGENTS","",""
"15539","B05BA03","CARBOHYDRATES","40:20.00","CALORIC AGENTS","",""
"1554","A06AB02","BISACODYL","56:12.00","CATHARTICS AND LAXATIVES","",""
"15542","D08AX05","ISOPROPANOL","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"15543","D08AX05","ISOPROPANOL","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"15544","R05DA20","COMBINATIONS","04:04.00","FIRST GENERATION ANTIHISTAMINES","",""
"15544","R05DA20","COMBINATIONS","48:08.00","ANTITUSSIVES","",""
"15545","A02AF02","ORDINARY SALT COMBINATIONS AND ANTIFLATULENTS","56:04.00","ANTACIDS AND ADSORBENTS","",""
"15546","N04BB01","AMANTADINE","08:18.04","ADAMANTANES","",""
"15546","N04BB01","AMANTADINE","28:36.04","ADAMANTANES","",""
"15550","A01AD11","VARIOUS","52:16.00","LOCAL ANESTHETICS","",""
"15551","","","92:01.00*","HERBS AND NATURAL PRODUCTS","",""
"15552","N01BB02","LIDOCAINE","72:00.00","LOCAL ANESTHETICS","",""
"15553","V04CJ02","PROTIRELIN","36:60.00","THYROID FUNCTION","",""
"15554","B02BD20","COMBINATIONS","20:28.16","HEMOSTATICS","",""
"15555","B02BD04","COAGULATION FACTOR IX","20:28.16","HEMOSTATICS","",""
"15556","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"15557","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"15558","D01AE18","TOLNAFTATE","84:04.08.40","THIOCARBAMATES","",""
"1556","M02AB","CAPSAICIN AND SIMILAR AGENTS","84:24.04","BASIC LOTIONS AND LINIMENTS","",""
"15560","B02BD02","COAGULATION FACTOR VIII","20:28.16","HEMOSTATICS","",""
"15561","B02BD02","COAGULATION FACTOR VIII","20:28.16","HEMOSTATICS","",""
"15562","B02BD02","COAGULATION FACTOR VIII","20:28.16","HEMOSTATICS","",""
"15563","A02BA03","FAMOTIDINE","56:28.12","HISTAMINE H2-ANTAGONISTS","",""
"15564","A02BA03","FAMOTIDINE","56:28.12","HISTAMINE H2-ANTAGONISTS","",""
"15565","","","84:92.00","MISC. SKIN AND MUCOUS MEMBRANE AGENTS","",""
"15566","D08AE04","TRICLOSAN","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"15567","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"15569","D02AC","SOFT PARAFFIN AND FAT PRODUCTS","84:24.12","BASIC OINTMENTS AND PROTECTANTS","",""
"1557","B01AC07","DIPYRIDAMOLE","24:12.92","MISCELLANEOUS VASODILATATING AGENTS","",""
"15570","D02AC","SOFT PARAFFIN AND FAT PRODUCTS","84:24.12","BASIC OINTMENTS AND PROTECTANTS","",""
"15571","N02BG04","FLOCTAFENINE","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS","",""
"15573","J01XC01","FUSIDIC ACID","08:12.28.92","OTHER MISCELLANEOUS ANTIBACTERIAL AGENTS*","",""
"15575","C08CA02","FELODIPINE","24:28.08","DIHYDROPYRIDINES","",""
"15576","D03BA","PROTEOLYTIC ENZYMES","44:00.00","ENZYMES","",""
"15576","D03BA","PROTEOLYTIC ENZYMES","84:92.00","MISC. SKIN AND MUCOUS MEMBRANE AGENTS","",""
"15577","H03AA01","LEVOTHYROXINE SODIUM","68:36.04","THYROID AGENTS","",""
"15578","N02AJ06","CODEINE AND PARACETAMOL","28:08.08","OPIATE AGONISTS","",""
"15578","N02AJ06","CODEINE AND PARACETAMOL","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS","",""
"15579","N02AJ06","CODEINE AND PARACETAMOL","28:08.08","OPIATE AGONISTS","",""
"15579","N02AJ06","CODEINE AND PARACETAMOL","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS","",""
"1558","B01AC07","DIPYRIDAMOLE","24:12.92","MISCELLANEOUS VASODILATATING AGENTS","",""
"15580","N02AJ06","CODEINE AND PARACETAMOL","28:08.08","OPIATE AGONISTS","",""
"15580","N02AJ06","CODEINE AND PARACETAMOL","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS","",""
"15581","N02AJ06","CODEINE AND PARACETAMOL","28:08.08","OPIATE AGONISTS","",""
"15581","N02AJ06","CODEINE AND PARACETAMOL","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS","",""
"15582","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"15583","N01BB52","LIDOCAINE, COMBINATIONS","72:00.00","LOCAL ANESTHETICS","",""
"15584","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"15587","N05BA09","CLOBAZAM","28:12.08","BENZODIAZEPINES","",""
"15593","R05CA10","COMBINATIONS","04:04.20","PROPYLAMINE DERIVATIVES","",""
"15593","R05CA10","COMBINATIONS","48:16.00","EXPECTORANTS","",""
"15594","N02AJ07","CODEINE AND ACETYLSALICYLIC ACID","28:08.04.24","SALICYLATES","",""
"15594","N02AJ07","CODEINE AND ACETYLSALICYLIC ACID","28:08.08","OPIATE AGONISTS","",""
"15595","A11EB","VITAMIN B-COMPLEX WITH VITAMIN C","88:28.00","MULTIVITAMIN PREPARATIONS","",""
"15596","B05XA17","POTASSIUM ACETATE","40:12.00","REPLACEMENT PREPARATIONS","",""
"15597","B05XA08","SODIUM ACETATE","40:12.00","REPLACEMENT PREPARATIONS","",""
"15599","C01DA14","ISOSORBIDE MONONITRATE","24:12.08","NITRATES AND NITRITES","",""
"1560","D08AG02","POVIDONE-IODINE","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"15600","R01BA51","PHENYLPROPANOLAMINE, COMBINATIONS","04:04.20","PROPYLAMINE DERIVATIVES","",""
"15600","R01BA51","PHENYLPROPANOLAMINE, COMBINATIONS","12:12.00","SYMPATHOMIMETIC (ADRENERGIC) AGENTS","",""
"15601","B05XA06","POTASSIUM PHOS INCL COMB W/0TH POT. SALTS","40:12.00","REPLACEMENT PREPARATIONS","",""
"15602","B05XA30","COMBINATIONS OF ELECTROLYTES","40:12.00","REPLACEMENT PREPARATIONS","",""
"15603","B05XA31","ELECTROLYTES IN COMB WITH OTHER DRUGS","40:12.00","REPLACEMENT PREPARATIONS","",""
"15604","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"15605","H02AB09","HYDROCORTISONE","68:04.00","ADRENALS","",""
"15606","H02AB09","HYDROCORTISONE","68:04.00","ADRENALS","",""
"15607","H02AB09","HYDROCORTISONE","68:04.00","ADRENALS","",""
"15608","H02AB09","HYDROCORTISONE","68:04.00","ADRENALS","",""
"15609","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","04:04.04","ETHANOLAMINE DERIVATIVES","",""
"15609","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS","",""
"1561","N05AB06","TRIFLUOPERAZINE","28:16.08.24","PHENOTHIAZINES","",""
"15610","C07AB09","ESMOLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS","",""
"15611","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION","",""
"15612","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION","",""
"15613","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION","",""
"15614","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"15615","A03FA01","METOCLOPRAMIDE","56:32.00","PROKINETIC AGENTS","",""
"15616","N05BA06","LORAZEPAM","28:24.08","BENZODIAZEPINES","",""
"15617","A07BB","BISMUTH PREPARATIONS","56:04.00","ANTACIDS AND ADSORBENTS","",""
"1562","B05BC52","CARBAMIDE, COMBINATIONS","40:28.12","OSMOTIC DIURETICS","",""
"15620","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"15621","C04AX01","CYCLANDELATE","92:00.00","MISCELLANEOUS THERAPEUTIC AGENTS","",""
"15624","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"15626","A07EC01","SULFASALAZINE","08:12.20","SULFONAMIDES","",""
"15627","A02AD01","ORDINARY SALT COMBINATIONS","56:04.00","ANTACIDS AND ADSORBENTS","",""
"15628","A02AF02","ORDINARY SALT COMBINATIONS AND ANTIFLATULENTS","56:04.00","ANTACIDS AND ADSORBENTS","",""
"15629","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"1563","D08AE04","TRICLOSAN","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"15630","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15631","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15632","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15633","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15634","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15635","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15636","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"15637","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
